,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,date
877,19,Garrotxa,17046,Castellfollit de la Roca,0,Home,Positiu PCR,1,11-06
878,15,Cerdanya,17094,Llívia,1,Dona,Sospitós,1,11-06
879,11,Baix Llobregat,08263,Sant Vicenç dels Horts,1,Dona,Sospitós,32,11-06
880,40,Vallès Occidental,08266,Cerdanyola del Vallès,0,Home,Sospitós,49,11-06
881,24,Osona,08247,Santa Eulàlia de Riuprimer,0,Home,Positiu PCR,1,11-06
882,11,Baix Llobregat,08114,Martorell,0,Home,Sospitós,11,11-06
883,34,Selva,17103,Maçanet de la Selva,0,Home,Positiu PCR,1,11-06
884,02,Alt Empordà ,17102,Maçanet de Cabrenys,1,Dona,Sospitós,1,11-06
885,30,Ribera d'Ebre,43150,Tivissa,0,Home,Sospitós,1,11-06
886,28,Pla de l'Estany,17137,Porqueres,1,Dona,Sospitós,8,11-06
887,41,Vallès Oriental,08306,Vilalba Sasserra,0,Home,Sospitós,1,11-06
888,33,Segrià ,25023,Alpicat,0,Home,Positiu PCR,1,11-06
889,40,Vallès Occidental,08187,Sabadell,1,Dona,Epidemiològic,1,11-06
890,19,Garrotxa,17207,La Vall d'En Bas,1,Dona,Sospitós,3,11-06
891,40,Vallès Occidental,08125,Montcada i Reixac,0,Home,Positiu PCR,16,11-06
892,41,Vallès Oriental,08107,Lliçà d'Amunt,1,Dona,Sospitós,18,11-06
893,08,Baix Camp,43007,L'Aleixar,0,Home,Positiu PCR,1,11-06
894,41,Vallès Oriental,08086,Les Franqueses del Vallès,0,Home,Sospitós,33,11-06
895,20,Gironès,17163,Sant Gregori,1,Dona,Positiu PCR,5,11-06
896,41,Vallès Oriental,08202,Sant Celoni,1,Dona,Positiu PCR,4,11-06
897,02,Alt Empordà ,17012,Avinyonet de Puigventós,1,Dona,Sospitós,3,11-06
898,08,Baix Camp,43031,Les Borges del Camp,0,Home,Positiu PCR,1,11-06
899,15,Cerdanya,25175,Prats i Sansor,0,Home,Positiu PCR,1,11-06
900,06,Anoia,08102,Igualada,1,Dona,Positiu per Test Ràpid,1,11-06
901,08,Baix Camp,43088,Montbrió del Camp,1,Dona,Positiu PCR,3,11-06
902,31,Ripollès,17112,Ogassa,1,Dona,Sospitós,1,11-06
903,03,Alt Penedès,08145,Olèrdola,1,Dona,Sospitós,6,11-06
904,41,Vallès Oriental,08181,La Roca del Vallès,1,Dona,Sospitós,11,11-06
905,15,Cerdanya,17082,Guils de Cerdanya,0,Home,Sospitós,1,11-06
906,03,Alt Penedès,08273,Subirats,0,Home,Sospitós,2,11-06
907,11,Baix Llobregat,08204,Sant Climent de Llobregat,0,Home,Positiu PCR,1,11-06
908,31,Ripollès,17091,Llanars,1,Dona,Sospitós,1,11-06
909,22,Montsià ,43136,Sant Carles de la Ràpita,1,Dona,Positiu PCR,2,11-06
910,11,Baix Llobregat,08147,Olesa de Montserrat,0,Home,Positiu PCR,6,11-06
911,21,Maresme,08230,Premià de Dalt,0,Home,Sospitós,8,11-06
912,34,Selva,17009,Arbúcies,0,Home,Sospitós,7,11-06
913,17,Garraf,08307,Vilanova i la Geltrú,0,Home,Positiu PCR,6,11-06
914,11,Baix Llobregat,08020,Begues,0,Home,PCR probable,1,11-06
915,11,Baix Llobregat,08289,Torrelles de Llobregat,0,Home,Sospitós,2,11-06
916,26,Pallars Sobirà ,25183,Rialp,1,Dona,Sospitós,1,11-06
917,21,Maresme,08006,Arenys de Mar,1,Dona,Sospitós,11,11-06
918,07,Bages,08113,Manresa,0,Home,Positiu PCR,7,11-06
919,29,Priorat,43115,Pradell de la Teixeta,0,Home,Sospitós,2,11-06
920,41,Vallès Oriental,08096,Granollers,0,Home,Positiu PCR,9,11-06
921,20,Gironès,17044,Cassà de la Selva,0,Home,Positiu per ELISA,1,11-06
